regionname,vote_swing,msa
"oshkosh, wi",0.7364848120145151,"Oshkosh-Neenah, WI MSA"
"owensboro, ky",2.120032700839092,"Owensboro, KY MSAOwensboro, KY MSA"
"oxnard, ca",2.6359971745010977,"Oxnard-Thousand Oaks-Ventura, CA MSA"
"paducah, ky",1.6059223981948478,"Paducah, KY-IL MSAPaducah, KY-IL MSAPaducah, KY-IL MSAPaducah, KY-IL MSAPaducah, KY-IL MSA"
"palm bay, fl",2.025510383271867,"Palm Bay-Melbourne-Titusville, FL MSA"
"panama city, fl",1.785018674469463,"Panama City-Panama City Beach, FL MSAPanama City-Panama City Beach, FL MSA"
"parkersburg, wv",0.3783745756102741,"Parkersburg-Vienna, WV MSAParkersburg-Vienna, WV MSA"
"pensacola, fl",2.6113493306557545,"Pensacola-Ferry Pass-Brent, FL MSAPensacola-Ferry Pass-Brent, FL MSA"
"peoria, il",1.144263112784194,"Peoria, IL MSAPeoria, IL MSAPeoria, IL MSAPeoria, IL MSAPeoria, IL MSA"
"philadelphia, pa",1.9801481157528833,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSAPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"phoenix, az",2.931550973128838,"Phoenix-Mesa-Chandler, AZ MSAPhoenix-Mesa-Chandler, AZ MSA"
"pinehurst, nc",1.0934790864277177,"Pinehurst-Southern Pines, NC MSA"
"pittsburgh, pa",0.5668543240283097,"Pittsburgh, PA MSAPittsburgh, PA MSAPittsburgh, PA MSAPittsburgh, PA MSAPittsburgh, PA MSAPittsburgh, PA MSAPittsburgh, PA MSAPittsburgh, PA MSA"
"pittsfield, ma",3.6702129989992893,"Pittsfield, MA MSA"
"pocatello, id",1.8723393037668234,"Pocatello, ID MSA"
"ponce, pr",,"Ponce, PR MSAPonce, PR MSAPonce, PR MSAPonce, PR MSAPonce, PR MSAPonce, PR MSA"
"port st. lucie, fl",3.1514775603867506,"Port St. Lucie, FL MSAPort St. Lucie, FL MSA"
"portland, me",1.250135537490149,"Portland-South Portland, ME MSAPortland-South Portland, ME MSAPortland-South Portland, ME MSA"
"portland, or",0.2144964600552801,"Portland-Vancouver-Hillsboro, OR-WA MSAPortland-Vancouver-Hillsboro, OR-WA MSAPortland-Vancouver-Hillsboro, OR-WA MSAPortland-Vancouver-Hillsboro, OR-WA MSAPortland-Vancouver-Hillsboro, OR-WA MSAPortland-Vancouver-Hillsboro, OR-WA MSAPortland-Vancouver-Hillsboro, OR-WA MSA"
"prescott valley, az",2.578061972058865,"Prescott Valley-Prescott, AZ MSA"
"providence, ri",4.0465860394540645,"Providence-Warwick, RI-MA MSAProvidence-Warwick, RI-MA MSAProvidence-Warwick, RI-MA MSAProvidence-Warwick, RI-MA MSAProvidence-Warwick, RI-MA MSAProvidence-Warwick, RI-MA MSA"
"provo, ut",-1.138767112960648,"Provo-Orem-Lehi, UT MSAProvo-Orem-Lehi, UT MSA"
"pueblo, co",3.4830601115133586,"Pueblo, CO MSA"
"punta gorda, fl",3.4969005424676403,"Punta Gorda, FL MSA"
"racine, wi",1.1477419692695001,"Racine-Mount Pleasant, WI MSA"
"raleigh, nc",0.46018473874408494,"Raleigh-Cary, NC MSARaleigh-Cary, NC MSARaleigh-Cary, NC MSA"
"rapid city, sd",1.3665401040374725,"Rapid City, SD MSARapid City, SD MSARapid City, SD MSA"
"reading, pa",2.0588746311676065,"Reading, PA MSA"
"redding, ca",1.503900124615598,"Redding, CA MSA"
"reno, nv",2.1535074913574315,"Reno, NV MSAReno, NV MSAReno, NV MSA"
"richmond, va",0.15150859924040194,"Richmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSARichmond, VA MSA"
"riverside, ca",5.1155030928962955,"Riverside-San Bernardino-Ontario, CA MSARiverside-San Bernardino-Ontario, CA MSA"
"roanoke, va",0.9281099925960046,"Roanoke, VA MSARoanoke, VA MSARoanoke, VA MSARoanoke, VA MSARoanoke, VA MSARoanoke, VA MSA"
"rochester, mn",0.4380332208107962,"Rochester, MN MSARochester, MN MSARochester, MN MSARochester, MN MSA"
"rochester, ny",2.7190378300640528,"Rochester, NY MSARochester, NY MSARochester, NY MSARochester, NY MSARochester, NY MSA"
"rockford, il",0.9063732661381441,"Rockford, IL MSARockford, IL MSA"
"rocky mount, nc",1.4645857943183849,"Rocky Mount, NC MSARocky Mount, NC MSA"
"rome, ga",0.7762311974166658,"Rome, GA MSA"
"sacramento, ca",2.0574036525140063,"Sacramento-Roseville-Folsom, CA MSASacramento-Roseville-Folsom, CA MSASacramento-Roseville-Folsom, CA MSASacramento-Roseville-Folsom, CA MSA"
"saginaw, mi",1.7375990389546403,"Saginaw, MI MSA"
"salem, or",1.3251418705791718,"Salem, OR MSASalem, OR MSA"
"salinas, ca",5.307080182800073,"Salinas, CA MSA"
"salisbury, md",1.4687307240502823,"Salisbury, MD MSASalisbury, MD MSA"
"salt lake city, ut",0.9993636213264989,"Salt Lake City-Murray, UT MSASalt Lake City-Murray, UT MSA"
"san angelo, tx",1.9922621235079152,"San Angelo, TX MSASan Angelo, TX MSA"
"san antonio, tx",4.439618594433909,"San Antonio-New Braunfels, TX MSASan Antonio-New Braunfels, TX MSASan Antonio-New Braunfels, TX MSASan Antonio-New Braunfels, TX MSASan Antonio-New Braunfels, TX MSASan Antonio-New Braunfels, TX MSASan Antonio-New Braunfels, TX MSASan Antonio-New Braunfels, TX MSA"
"san diego, ca",2.690159096165845,"San Diego-Chula Vista-Carlsbad, CA MSA"
"san francisco, ca",2.946358322256526,"San Francisco-Oakland-Fremont, CA MSASan Francisco-Oakland-Fremont, CA MSASan Francisco-Oakland-Fremont, CA MSASan Francisco-Oakland-Fremont, CA MSASan Francisco-Oakland-Fremont, CA MSA"
"san jose, ca",3.0085332910145146,"San Jose-Sunnyvale-Santa Clara, CA MSASan Jose-Sunnyvale-Santa Clara, CA MSA"
"san juan, pr",,"San Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSASan Juan-Bayamon-Caguas, PR MSA"
"san luis obispo, ca",0.8450921790180699,"San Luis Obispo-Paso Robles, CA MSA"
"sandusky, oh",1.2262583873724475,"Sandusky, OH MSASandusky, OH MSA"
"santa cruz, ca",2.2781752330629153,"Santa Cruz-Watsonville, CA MSA"
"santa fe, nm",2.1445816149485015,"Santa Fe, NM MSA"
"santa maria, ca",2.3065840465619383,"Santa Maria-Santa Barbara, CA MSA"
"santa rosa, ca",2.1847327847307114,"Santa Rosa-Petaluma, CA MSA"
"savannah, ga",1.0096564443809297,"Savannah, GA MSASavannah, GA MSASavannah, GA MSA"
"scranton, pa",2.4896637664654775,"Scranton--Wilkes-Barre, PA MSAScranton--Wilkes-Barre, PA MSAScranton--Wilkes-Barre, PA MSA"
"seattle, wa",0.29754759430222766,"Seattle-Tacoma-Bellevue, WA MSASeattle-Tacoma-Bellevue, WA MSASeattle-Tacoma-Bellevue, WA MSA"
"sebastian, fl",2.665248602957304,"Sebastian-Vero Beach-West Vero Corridor, FL MSA"
"sebring, fl",3.0787692966704805,"Sebring, FL MSA"
"sheboygan, wi",0.40012992121376545,"Sheboygan, WI MSA"
"sherman, tx",2.296467291558102,"Sherman-Denison, TX MSA"
"shreveport, la",,"Shreveport-Bossier City, LA MSAShreveport-Bossier City, LA MSAShreveport-Bossier City, LA MSA"
"sierra vista, az",1.9411276866767468,"Sierra Vista-Douglas, AZ MSA"
"sioux city, ia",3.5759590368927174,"Sioux City, IA-NE-SD MSASioux City, IA-NE-SD MSASioux City, IA-NE-SD MSA"
"sioux falls, sd",1.8140795918688113,"Sioux Falls, SD-MN MSASioux Falls, SD-MN MSASioux Falls, SD-MN MSASioux Falls, SD-MN MSASioux Falls, SD-MN MSA"
"slidell, la",,"Slidell-Mandeville-Covington, LA MSA"
"south bend, in",2.5727990397803047,"South Bend-Mishawaka, IN-MI MSASouth Bend-Mishawaka, IN-MI MSA"
"spartanburg, sc",3.357653807334604,"Spartanburg, SC MSASpartanburg, SC MSA"
"spokane, wa",0.40752131195739283,"Spokane-Spokane Valley, WA MSASpokane-Spokane Valley, WA MSA"
"springfield, il",0.3654999120004443,"Springfield, IL MSASpringfield, IL MSA"
"springfield, ma",4.782477138463159,"Springfield, MA MSA"
"springfield, mo",0.4940130827982614,"Springfield, MO MSASpringfield, MO MSASpringfield, MO MSASpringfield, MO MSASpringfield, MO MSA"
"springfield, oh",3.1365829631219144,"Springfield, OH MSA"
"st. cloud, mn",2.202256890161114,"St. Cloud, MN MSASt. Cloud, MN MSA"
"st. george, ut",0.4983529912588325,"St. George, UT MSA"
"st. joseph, mo",1.6622565365074449,"St. Joseph, MO-KS MSASt. Joseph, MO-KS MSASt. Joseph, MO-KS MSASt. Joseph, MO-KS MSA"
"st. louis, mo",0.7124655931638246,"St. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSASt. Louis, MO-IL MSA"
"state college, pa",0.910807742041192,"State College, PA MSA"
"staunton, va",0.36262112276298497,"Staunton-Stuarts Draft, VA MSAStaunton-Stuarts Draft, VA MSAStaunton-Stuarts Draft, VA MSA"
"stockton, ca",6.946882447078956,"Stockton-Lodi, CA MSA"
"sumter, sc",4.039785376983218,"Sumter, SC MSA"
"syracuse, ny",2.571402106389037,"Syracuse, NY MSASyracuse, NY MSASyracuse, NY MSA"
"tallahassee, fl",3.3494811200455663,"Tallahassee, FL MSATallahassee, FL MSATallahassee, FL MSATallahassee, FL MSA"
"tampa, fl",3.7138998702747172,"Tampa-St. Petersburg-Clearwater, FL MSATampa-St. Petersburg-Clearwater, FL MSATampa-St. Petersburg-Clearwater, FL MSATampa-St. Petersburg-Clearwater, FL MSA"
"terre haute, in",1.451818198001964,"Terre Haute, IN MSATerre Haute, IN MSATerre Haute, IN MSATerre Haute, IN MSA"
"texarkana, tx",3.0964572302630944,"Texarkana, TX-AR MSATexarkana, TX-AR MSATexarkana, TX-AR MSA"
"toledo, oh",2.0312534992766587,"Toledo, OH MSAToledo, OH MSAToledo, OH MSA"
"topeka, ks",1.4817077259505318,"Topeka, KS MSATopeka, KS MSATopeka, KS MSATopeka, KS MSATopeka, KS MSA"
"traverse city, mi",-0.5469638811409494,"Traverse City, MI MSATraverse City, MI MSATraverse City, MI MSATraverse City, MI MSA"
"trenton, nj",2.676273846491589,"Trenton-Princeton, NJ MSA"
"tucson, az",1.7581338700322247,"Tucson, AZ MSA"
"tulsa, ok",0.61800899208172,"Tulsa, OK MSATulsa, OK MSATulsa, OK MSATulsa, OK MSATulsa, OK MSATulsa, OK MSATulsa, OK MSA"
"tuscaloosa, al",3.2677407192962526,"Tuscaloosa, AL MSATuscaloosa, AL MSATuscaloosa, AL MSATuscaloosa, AL MSA"
"twin falls, id",2.117343143850281,"Twin Falls, ID MSATwin Falls, ID MSA"
"tyler, tx",2.8356103938628974,"Tyler, TX MSA"
"urban honolulu, hi",2.6174182286286984,"Urban Honolulu, HI MSA"
"utica, ny",4.293414604104562,"Utica-Rome, NY MSAUtica-Rome, NY MSA"
"valdosta, ga",3.279737613906619,"Valdosta, GA MSAValdosta, GA MSAValdosta, GA MSAValdosta, GA MSA"
"vallejo, ca",3.392269960377392,"Vallejo, CA MSA"
"victoria, tx",2.4882875834283613,"Victoria, TX MSAVictoria, TX MSA"
"vineland, nj",4.857796830781064,"Vineland, NJ MSA"
"virginia beach, va",0.8040528680881343,"Virginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSAVirginia Beach-Chesapeake-Norfolk, VA-NC MSA"
"visalia, ca",6.382710548025905,"Visalia, CA MSA"
"waco, tx",3.8025316896012185,"Waco, TX MSAWaco, TX MSAWaco, TX MSA"
"walla walla, wa",-0.12116557482588775,"Walla Walla, WA MSA"
"warner robins, ga",-0.17574764706086432,"Warner Robins, GA MSAWarner Robins, GA MSA"
"washington, dc",2.9418601341916704,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSAWashington-Arlington-Alexandria, DC-VA-MD-WV MSA"
"waterbury, ct",,"Waterbury-Shelton, CT MSA"
"waterloo, ia",3.682050455297076,"Waterloo-Cedar Falls, IA MSAWaterloo-Cedar Falls, IA MSAWaterloo-Cedar Falls, IA MSA"
"watertown, ny",5.292752146899026,"Watertown-Fort Drum, NY MSA"
"wausau, wi",0.48533328271846976,"Wausau, WI MSA"
"weirton, wv",1.9916927212994429,"Weirton-Steubenville, WV-OH MSAWeirton-Steubenville, WV-OH MSAWeirton-Steubenville, WV-OH MSA"
"wenatchee, wa",0.6985410178346751,"Wenatchee-East Wenatchee, WA MSAWenatchee-East Wenatchee, WA MSA"
"wheeling, wv",0.9285311357687509,"Wheeling, WV-OH MSAWheeling, WV-OH MSAWheeling, WV-OH MSA"
"wichita falls, tx",1.7989971599960963,"Wichita Falls, TX MSAWichita Falls, TX MSAWichita Falls, TX MSA"
"wichita, ks",0.9553407078200848,"Wichita, KS MSAWichita, KS MSAWichita, KS MSAWichita, KS MSA"
"wildwood, fl",0.44280343767790775,"Wildwood-The Villages, FL MSA"
"williamsport, pa",0.14162660162704288,"Williamsport, PA MSA"
"wilmington, nc",1.2253786453081394,"Wilmington, NC MSAWilmington, NC MSAWilmington, NC MSA"
"winchester, va",0.603223870662728,"Winchester, VA-WV MSAWinchester, VA-WV MSAWinchester, VA-WV MSA"
"winston, nc",0.507522688735329,"Winston-Salem, NC MSAWinston-Salem, NC MSAWinston-Salem, NC MSAWinston-Salem, NC MSAWinston-Salem, NC MSA"
"worcester, ma",4.200401851628599,"Worcester, MA MSA"
"yakima, wa",3.069489450607299,"Yakima, WA MSA"
"york, pa",0.3891633990019905,"York-Hanover, PA MSA"
"youngstown, oh",3.414893124045293,"Youngstown-Warren, OH MSAYoungstown-Warren, OH MSA"
"yuba city, ca",5.148286040351269,"Yuba City, CA MSAYuba City, CA MSA"
"yuma, az",7.345069900772172,"Yuma, AZ MSA"
